downloadKey	numberRecords	totalRecords	numberDatasets
0011803-171219132708484	1280513	210046134	3588
0002638-150221044754056	5	7941	170
0032583-180508205500799	2	1088	140
0092434-160910150852091	1	14583	66
0008868-170826194755519	14	63298	149
0004487-170627171947987	12	80692	94
0028159-180131172636756	1	1084	14
0004229-170714134226665	9	35169	115
0023033-180131172636756	3	3586	50
0004956-170714134226665	4	21171	73
0009613-170826194755519	3	740	35
0089100-160910150852091	1	20740	76
0091885-160910150852091	2	8127	60
0000565-170714134226665	8	35415	75
0004013-170714134226665	1	3445	30
0028076-180131172636756	3	3232	32
0004955-170714134226665	4	21171	73
0003856-170714134226665	5	17006	74
0008876-180131172636756	5	2317	57
0000348-160803222355964	7	50233	58
0003637-160822134323880	5	415031	76
0003636-160822134323880	6	75213	44
0003362-180508205500799	355	5655	82
0003359-180508205500799	158	3611	209
0003261-141123120432318	219743	10322885	806
0095247-160910150852091	91	126127	160
0002940-171002173027117	4	7335	143
0008668-160118175350007	1	8101	48
0007335-160118175350007	16557	1748097	794
0004817-150831095807960	1	4438	111
0006847-150922153815467	1	3707	36
0002701-160803222355964	1	4866	129
0006850-150922153815467	2	6667	46
0000594-151016162008034	1	25216	51
0002107-160803222355964	5129	1301586	616
0013482-160118175350007	53	45002	37
0079052-160910150852091	6235	1072210	792
0001373-180508205500799	8	54103	329
0056384-160910150852091	601	483323	415
0001397-180508205500799	1084	188993	511
0001353-180508205500799	552002	903208	702
0023355-180508205500799	6	1439	65
0022419-180508205500799	2	5471	191
0010325-160118175350007	112804	4074709	330
0004251-150410134957023	11	72324	369
0004250-150410134957023	12	130937	407
0086624-160910150852091	587	2602	13
0004071-160526112335914	4661554	649785068	13760
0009646-171219132708484	2	40085	256
0008166-171219132708484	2	30671	204
0013280-171219132708484	2	34674	266
0008154-171219132708484	1	3318	87
0008096-171219132708484	6	96225	356
0008093-171219132708484	2	28196	176
0008101-171219132708484	4	27763	212
0009546-171219132708484	2	12661	124
0009585-171219132708484	17	42131	279
0011937-171219132708484	5	45718	248
0009563-171219132708484	2	30338	174
0010201-171219132708484	2	86505	307
0011934-171219132708484	6	96371	361
0008089-171219132708484	2	34487	262
0010044-171219132708484	5	45674	244
0008082-171219132708484	1	42365	188
0009542-171219132708484	4	54563	256
0008076-171219132708484	4	56513	255
0003928-151016162008034	2786	5314440	1222
0002729-171113114016250	9	28418	66
0010614-171124123535762	54	1773	41
0008896-180131172636756	2	11999	83
0003699-180131172636756	5	247017	492
0003701-180131172636756	74	4451	121
0000641-170822121629195	3188	27969662	1324
0003249-150831095807960	2	202	25
0000129-150523225239109	3903482	385681365	5432
0001572-171002173027117	298	7808086	181
0007390-180730143533302	4	982	57
0007440-180730143533302	4	101	21
0005282-160311141623029	348	563	6
0005277-160311141623029	1047	9101	19
0006896-160526112335914	1	2368	125
0006917-160526112335914	2	5108	48
0006893-160526112335914	2	20144	148
0006911-160526112335914	5	191673	401
0006927-160526112335914	2	3984	61
0006905-160526112335914	21	17415	124
0006906-160526112335914	22	18057	256
0006925-160526112335914	1	155	19
0006900-160526112335914	6	11855	150
0006915-160526112335914	8	2838	131
0006895-160526112335914	12	1198	74
0006891-160526112335914	2	4982	58
0006932-160526112335914	2	96684	199
0006907-160526112335914	6	3829	184
0006919-160526112335914	1	30526	98
0002640-150831095807960	1	30	12
0000995-150615163101818	85	496	22
0001005-150116162929234	1	312	27
0000218-150805223722583	1	1	1
0001032-150204170955391	2	564	81
0007980-150615163101818	1	1	1
0000219-150805223722583	1	1	1
0005311-150528172251762	1	21063	244
0028500-160910150852091	15	249	30
0039182-160910150852091	1	145140	519
0027450-180131172636756	10	20723	112
0039164-160910150852091	2	191	24
0009622-170826194755519	4	15419	70
0005225-160822134323880	3	703	31
0040368-160910150852091	184	2658	58
0040386-160910150852091	2	459	17
0001510-160822134323880	288	190570	157
0090983-160910150852091	7	356746	44
0065032-160910150852091	195	729695	499
0015069-160118175350007	1567	23137149	143
0000434-171109162308116	1272487	181454965	2608
0001031-150512124619364	78	233264	506
0001038-150512124619364	29	18377	239
0000427-150528172251762	2	6254	96
0001039-150512124619364	109	69091	310
0000429-150528172251762	2	1852	56
0001107-150512124619364	44	335708	467
0000432-150528172251762	2	87472	481
0000434-150528172251762	86	8539	112
0000426-150528172251762	5	10091	171
0001079-150512124619364	202	181069	612
0001041-150512124619364	201	12714	129
0000430-150528172251762	1	12746	101
0001078-150512124619364	3	4600	49
0000433-150528172251762	3	16961	102
0001071-150512124619364	2	8263	89
0001077-150512124619364	172	82194	320
0094786-160910150852091	177487	345966	220
0000649-150410134957023	201121	272846001	1742
0000646-150410134957023	528949	9425050	1358
0001242-150316153013904	477562	4233785	658
0000648-150410134957023	12072	3584858	840
0010317-170826194755519	8020762	1921344459	17635
0003210-150922153815467	3	651	51
0003161-150922153815467	14	531	46
0003275-150922153815467	6	37103	67
0003220-150922153815467	26	117729	189
0002718-150922153815467	4	12472	70
0003288-150922153815467	13	581	36
0005307-150922153815467	5	690	48
0003257-150922153815467	13	1368	48
0005304-150922153815467	4	338	35
0003285-150922153815467	6	1712	56
0003282-150922153815467	10	6218	44
0003165-150922153815467	6	475	36
0003226-150922153815467	23	457	40
0003230-150922153815467	5	370	20
0003224-150922153815467	126	1151	48
0005289-150922153815467	1	35	11
0003212-150922153815467	75	23470	170
0003247-150922153815467	61	10482	152
0003277-150922153815467	3	1573	52
0003262-150922153815467	1	2727	59
0003135-150922153815467	9	437	41
0003268-150922153815467	3	59	13
0003340-150922153815467	23	1206	75
0003222-150922153815467	18	1541	90
0003291-150922153815467	1	263	24
0003256-150922153815467	135	1083	34
0003308-150922153815467	9	1497	40
0003312-150922153815467	5	206	23
0003447-150922153815467	32	885	48
0003159-150922153815467	18	158185	161
0003266-150922153815467	25	550	43
0003270-150922153815467	18	2471	123
0003322-150922153815467	16	2194	54
0003319-150922153815467	18	1836	83
0003279-150922153815467	22	78701	110
0003276-150922153815467	2	50873	66
0003127-150922153815467	49	899	45
0003320-150922153815467	4	1616	47
0003255-150922153815467	1	534	38
0003216-150922153815467	7	92133	129
0003293-150922153815467	132	13482	73
0019658-151016162008034	3705	14844096	1453
0001127-160822134323880	2	67	19
0001990-160118175350007	10	9470	31
0001991-160118175350007	29	5787	27
0001975-160118175350007	2	8293	23
0000368-150523225239109	31	144850	34
0079788-160910150852091	1280513	179907697	3198
0002031-170925132151566	417	30423	178
0026849-160910150852091	17	2180	86
0024239-160910150852091	1	1487	60
0025744-160910150852091	32240	324025	285
0001598-150422101436696	1	2856	94
0004264-150410134957023	1	1486	78
0010585-151016162008034	8	3242	127
0010594-160118175350007	297	2364912	611
0004979-170627171947987	2	1440	132
0004978-170627171947987	49	35306	310
0069372-160910150852091	660462	90840272	1869
0002444-160822134323880	14	28229	133
0100656-160910150852091	1	2675	53
0000662-160118175350007	90	1442	25
0004071-160526112335914	4661554	649785068	13760
0008793-160311141623029	14899	4643856	4809
0020714-151016162008034	57919	6639903	2611
0006849-160526112335914	90338	1695775	799
0045772-160910150852091	1631	998730	621
0003020-150221044754056	1	3048	74
0000054-160525232948595	5	13	3
0073293-160910150852091	6	1493	29
0073294-160910150852091	12	37484	227
0003555-150721130643939	1	3736	125
0000715-150827100048397	131488	7799056	1397
0003519-150831095807960	6807	8453154	1387
0003006-150528172251762	313	667996	740
0000039-150827100048397	1	341	21
0000067-150827100048397	1	292	29
0000062-150827100048397	2	1040	55
0000088-150827100048397	18	3891	74
0000087-150827100048397	1	4412	55
0000091-150827100048397	3	2989	67
0000072-150827100048397	6	1709	56
0000085-150827100048397	5	5428	25
0000061-150827100048397	9	1692	99
0000286-150811131857512	7	7977	104
0000077-150827100048397	30012	30461	11
0000086-150827100048397	8	29	5
0000089-150827100048397	2	4351	80
0001064-150805223722583	2	19090	53
0001061-150805223722583	1	3425	48
0008928-160311141623029	2	105251	79
0000089-150811131857512	1	3807	61
0001062-150805223722583	2	8297	34
0008930-160311141623029	1	43152	81
0000128-150811131857512	2	77806	86
0023279-151016162008034	61	801	24
0000117-150204170955391	86	195259	307
0006377-160311141623029	5	2926	33
0006388-160311141623029	26	3015	40
0001145-160311141623029	28	18112	47
0001146-160311141623029	48	15725	29
0001140-160311141623029	50	3824	16
0003667-160118175350007	4	945	78
0006471-160118175350007	2	1714	80
0005809-160311141623029	187	724002	391
0006656-160526112335914	1	158	9
0024283-160910150852091	11	12786	65
0024284-160910150852091	1	553	16
0000568-160803222355964	10	39	8
0002349-160118175350007	20	742	23
0002345-160118175350007	20	509	23
0002353-160118175350007	11	786	32
0002358-160118175350007	13	6965	91
0001224-150221044754056	554065	20477246	291
0000078-150306150734599	1654	5386025	1012
0001933-150528172251762	6	2099	52
0003058-150721130643939	2	1304	33
0021942-151016162008034	21	22895	93
0000134-150827100048397	1	214	13
0007049-150922153815467	18	20043	36
0000368-150523225239109	31	144850	34
0009882-150615163101818	82788	970794	618
0002604-150831095807960	6	1957	99
0000659-150211104439307	5	1637	44
