downloadKey	numberRecords	totalRecords	numberDatasets
0039582-181108115102211	501	31102	52
0011089-190918142434337	1	6472	58
0011500-190918142434337	14	2625	36
0011086-190918142434337	18	14794	24
0040288-181108115102211	423	137891	307
0012792-190918142434337	4	137560	198
0011447-190918142434337	14	4998	50
0011753-190918142434337	10	5771	120
0011495-190918142434337	1	1459	28
0011521-190918142434337	1	269	34
0011468-190918142434337	7	1839	53
0011527-190918142434337	3	21294	90
0011551-190918142434337	5	119	24
0011548-190918142434337	1	1103	58
0012901-190918142434337	2	1111	50
0011474-190918142434337	1	106	9
0012907-190918142434337	4	40793	248
0011100-190918142434337	2	27939	77
0011545-190918142434337	3	5335	113
0039614-181108115102211	16	536	23
0011726-190918142434337	10	72564	90
0039706-181108115102211	396	131151	588
0039167-181108115102211	5	1601	30
0011407-190918142434337	14	22644	110
0015105-190918142434337	1	280867	197
0040312-181108115102211	4	637	10
0011335-190918142434337	1456	8207	88
0011304-190918142434337	24	8127	122
0011087-190918142434337	79	175	5
0013935-190918142434337	6426	30563	160
0011344-190918142434337	13	521	37
0014864-190918142434337	17	546115	128
0011663-190918142434337	1	1436	79
0011332-190918142434337	54	784	35
0012789-190918142434337	1	23316	100
0010928-190918142434337	79	36972	99
0012946-190918142434337	5	227	18
0012943-190918142434337	2	13578	85
0040831-181108115102211	47	98	7
0011494-190918142434337	3	3692	46
0011491-190918142434337	42	5325	48
0039155-181108115102211	169	203	4
0039124-181108115102211	19	6126	190
0039179-181108115102211	357	39082	50
0011000-190918142434337	1	679	33
0011669-190918142434337	1	2169	26
0011350-190918142434337	5	1361	49
0011666-190918142434337	3	938	38
0012743-190918142434337	36	339252	572
0012758-190918142434337	63	18739	104
0012909-190918142434337	7	18967	91
0010900-190918142434337	3	26148	188
0012755-190918142434337	1719	29912	102
0011504-190918142434337	1	689	46
0012927-190918142434337	11	66030	297
0040339-181108115102211	6453	11558	62
0011510-190918142434337	6	1078	17
0012912-190918142434337	8	44025	257
0012915-190918142434337	28	104613	293
0013917-190918142434337	31	97143	331
0013247-190918142434337	3	571978	161
0011428-190918142434337	1	1745	46
0011476-190918142434337	10	12294	134
0039625-181108115102211	28	1743	34
0011473-190918142434337	11	363	22
0013962-190918142434337	3	4534	89
0011681-190918142434337	4	15041	98
0011425-190918142434337	4	13494	96
0013911-190918142434337	6	1966	66
0012870-190918142434337	199	34048	234
0012867-190918142434337	118	20738	119
0011678-190918142434337	8	15355	159
0011724-190918142434337	192	1804	104
0012861-190918142434337	48	57617	314
0011060-190918142434337	11	86312	326
0040284-181108115102211	16	483	10
0011467-190918142434337	27	661	34
0011051-190918142434337	49	40099	258
0011772-190918142434337	1	48741	73
0011015-190918142434337	7	8188	62
0011018-190918142434337	14	23447	66
0011021-190918142434337	1	1359	46
0011090-190918142434337	2	26227	75
0011093-190918142434337	4	195	18
0013235-190918142434337	1	43894	132
0013902-190918142434337	1	46662	156
0011419-190918142434337	5	13283	116
0040975-181108115102211	4	2136	64
0016146-190918142434337	3	22736	114
0011072-190918142434337	32	5537	16
0040906-181108115102211	18	5205	70
0011096-190918142434337	2	1791	60
0011440-190918142434337	25	8194	37
0013929-190918142434337	3	481929	529
0016143-190918142434337	5	7374	65
0011295-190918142434337	60	15668	57
0013944-190918142434337	92	2630	60
0013959-190918142434337	7	1585	56
0013295-190918142434337	1	5282	159
0013274-190918142434337	6	729	68
0013953-190918142434337	5	702	29
0011292-190918142434337	13	22632	71
0013956-190918142434337	221	115771	357
0013280-190918142434337	7	9658	65
0013277-190918142434337	1	4668	44
0013992-190918142434337	7	9942049	179
0013256-190918142434337	1	1458	35
0002442-190621201848488	54	1205	12
0006468-181108115102211	68	9592	89
0004572-180730143533302	2	39	16
0028243-190415153152247	121740	61831490	1412
0013860-200221144449610	1	103	14
0022860-191105090559680	108	863	39
0033513-191105090559680	832280	4978345	938
0051640-200221144449610	13	24089	172
0051629-200221144449610	15	4297	44
0051164-200221144449610	3	275985	726
0051798-200221144449610	8	3666	57
0051223-200221144449610	9	3571	43
0031169-200221144449610	4	431180	988
0063312-200221144449610	10	6152	32
0051686-200221144449610	24	11880	118
0056442-200221144449610	19	5455	62
0051634-200221144449610	12	23	9
0051699-200221144449610	16	3996	54
0051158-200221144449610	1	1234	109
0063178-200221144449610	6	967	37
0051819-200221144449610	15	3001	57
0051781-200221144449610	129	11182	73
0009968-190813142620410	2	782	58
0065103-200221144449610	3	9	5
0029362-190918142434337	1	1590	49
0045875-181108115102211	4	353	51
0003261-141123120432318	219743	10322885	806
0012342-190320150433242	2	12	7
0002300-190621201848488	2094	214565	272
0032735-200221144449610	1	503	34
0034017-191105090559680	2	771	23
0014278-200221144449610	2	21524	477
0023171-191105090559680	18	598	50
0023167-191105090559680	63	1712	59
0023198-191105090559680	16	405	29
0023195-191105090559680	4	115	23
0023162-191105090559680	188	24164	319
0002484-171002173027117	16	248	18
0023166-191105090559680	19	866	46
0023160-191105090559680	483	3790	50
0023159-191105090559680	4	136	25
0023163-191105090559680	120	1924	47
0003849-190918142434337	10	296709	214
0015755-180131172636756	53	864715	124
0021252-181108115102211	6	2657	114
0001971-190415153152247	4	1854	84
0001967-190415153152247	3	1824	77
0001962-190415153152247	3	2015	108
0001970-190415153152247	6	2980	96
0001973-190415153152247	11	3165	159
0001961-190415153152247	3	1527	77
0001949-190415153152247	2	2416	99
0001964-190415153152247	4	1358	98
0001975-190415153152247	12	5034	171
0001966-190415153152247	2	1829	87
0001969-190415153152247	4	1487	76
0002557-181003121212138	3	2719	194
0003982-190415153152247	49695	89288	269
0002997-180925134338326	11	5012	193
0003035-180925134338326	4	1777	75
0002991-180925134338326	4	48705	326
0002566-181003121212138	6	13679	378
0003016-180925134338326	4	3126	158
0003028-180925134338326	14	10537	382
0002585-181003121212138	6	3120	205
0003018-180925134338326	2	4660	158
0003027-180925134338326	2	7185	342
0004025-190415153152247	9	1895	171
0003036-180925134338326	18	3088	174
0002590-181003121212138	2	11182	180
0003029-180925134338326	19	6618	333
0003980-190415153152247	12	6433	149
0002031-170925132151566	417	30423	178
0041790-181108115102211	248	92493	351
0021747-160910150852091	379	2098707	851
0022033-160910150852091	332	1102007	820
0022007-160910150852091	115	2212203	922
0021918-160910150852091	261	2784355	957
0001071-160623103540712	2	44009	102
0001415-160803222355964	3	156246	459
0038199-160910150852091	76	295578	449
0001074-160623103540712	2	1598	40
0001040-160623103540712	2	6193	85
0037906-160910150852091	7	184285	553
0001049-160623103540712	2	7521	105
0038190-160910150852091	2	291770	498
